Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-July-2025,607.95,619.80,602.20,605.90,612.790337853923364095,1503786,25087,921505531.00,524360,34.87,17.60,-2.05
9-July-2025,600.20,609.95,596.75,602.20,603.346508373769832782,388057,6513,234132836.00,130018,33.50,13.20,2.00
8-July-2025,603.00,615.00,592.25,599.70,602.420744278766715500,747435,12991,450270349.00,260536,34.86,22.75,-3.30
7-July-2025,584.00,599.90,578.85,596.70,589.004602280533040252,349392,7080,205793496.00,122500,35.06,21.05,12.70
4-July-2025,588.60,590.65,581.00,584.65,585.410066755674232309,337050,6934,197312463.00,128307,38.07,9.65,-3.95
3-July-2025,596.30,596.30,584.70,587.90,588.838691855590763105,465178,9848,273914805.00,161049,34.62,11.60,-8.40
2-July-2025,595.00,601.85,587.75,591.45,594.255327163253464724,525655,10186,312373284.00,197696,37.61,14.10,-3.55
1-July-2025,586.20,606.90,586.20,591.55,597.400327102959789211,1197788,19602,715558943.00,382643,31.95,20.70,5.35
30-June-2025,589.90,597.55,582.70,585.80,588.141795826614915150,380794,6950,223960867.00,125816,33.04,14.85,-4.10
27-June-2025,580.00,607.50,574.25,584.25,594.835099381210618465,1325653,20938,788544934.00,417064,31.46,33.25,4.25
26-June-2025,557.25,580.00,557.25,577.85,570.395969954527702866,811703,17579,462992120.00,400044,49.28,22.75,20.60
25-June-2025,549.70,558.25,549.00,557.05,553.885185358510580215,256422,5022,142028347.00,91182,35.56,9.25,7.35
24-June-2025,547.30,551.95,538.50,546.80,545.764110736136656008,586114,9795,319879986.00,163227,27.85,13.45,-0.50
23-June-2025,530.00,541.75,529.15,538.05,536.103261666827674792,558978,10267,299669929.00,201133,35.98,12.60,8.05
20-June-2025,538.60,544.40,528.30,531.50,537.051927790236418995,383937,8148,206194106.00,136652,35.59,16.10,-7.10
