Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2024,535.45,537.20,523.40,529.15,529.108462418054335077,543958,11588,287812781.00,125745,23.12,13.80,-6.30
30-December-2024,507.05,558.70,501.60,539.70,527.551842634769615624,1544636,25599,814875568.00,568030,36.77,57.10,32.65
27-December-2024,510.05,513.65,504.25,506.95,508.659751447391288050,586918,12297,298541564.00,128472,21.89,9.40,-3.10
26-December-2024,498.00,515.70,495.65,507.20,507.322121988434311134,814651,15183,413290474.00,151002,18.54,20.05,9.20
24-December-2024,505.35,509.85,495.00,496.05,501.946822803496491897,241156,5449,121047488.00,85892,35.62,14.85,-9.30
23-December-2024,502.55,510.90,494.60,504.00,501.985848650100308038,498963,12997,250472365.00,112896,22.63,16.30,1.45
20-December-2024,510.35,527.00,492.00,498.45,512.382046332046332046,782180,19637,400774989.00,164134,20.98,35.00,-11.90
19-December-2024,510.65,516.40,507.00,508.45,511.041029520361664955,222084,5770,113494036.00,66160,29.79,9.40,-2.20
18-December-2024,524.05,529.80,517.65,521.10,522.248024096533062328,490029,12140,255916677.00,124456,25.40,12.15,-2.95
17-December-2024,529.00,541.75,522.00,524.90,531.197832501513483108,419562,7736,222870425.00,79137,18.86,19.75,-4.10
16-December-2024,538.15,539.00,522.50,529.00,532.534511825229186037,558171,10681,297245321.00,157793,28.27,16.50,-9.15
13-December-2024,544.95,544.95,531.90,536.95,537.648326299978542307,894784,13888,481079120.00,145557,16.27,13.05,-8.00
12-December-2024,519.25,561.85,513.30,540.05,543.511516114739600804,2787355,45951,1514959542.00,542030,19.45,48.55,20.80
11-December-2024,525.85,530.50,518.00,519.45,523.007682966214212732,529483,13738,276923677.00,171297,32.35,12.50,-6.40
10-December-2024,537.65,538.50,522.90,527.25,531.003566643733931998,220936,4972,117317804.00,67728,30.66,15.60,-10.40
9-December-2024,539.50,543.80,534.00,535.70,538.274875188275313510,590890,11726,318061241.00,171217,28.98,9.80,-3.80
6-December-2024,540.00,546.00,534.30,536.25,538.478608445516601094,262814,6140,141519717.00,86293,32.83,11.70,-3.75
5-December-2024,538.60,549.55,533.95,537.40,540.462502354247061699,499098,8669,269743754.00,102375,20.51,15.60,-1.20
4-December-2024,546.05,548.35,535.00,537.50,540.488584863608363099,845763,17858,457125247.00,299363,35.40,13.35,-8.55
3-December-2024,552.15,555.30,542.80,544.25,547.779910870965378133,1037148,20717,568128839.00,326495,31.48,12.50,-7.90
2-December-2024,564.70,566.00,543.25,549.00,551.329561485378469793,837874,17961,461944705.00,194119,23.17,22.75,-15.70
29-November-2024,563.40,587.70,542.45,554.55,568.255637539581451285,2673285,47689,1519109272.00,527877,19.75,45.25,-8.85
28-November-2024,535.05,583.75,532.05,560.20,561.624583764261191706,5422408,86530,3045357636.00,1096694,20.23,51.70,25.15
27-November-2024,435.50,525.30,432.10,523.80,491.610171793635889991,7178380,112762,3528964625.00,1619176,22.56,93.20,88.30
26-November-2024,450.00,455.65,433.25,437.75,441.123547828952788992,1966194,38268,867334473.00,403940,20.54,22.40,-12.25
25-November-2024,472.05,480.00,441.00,446.85,459.043532479583739879,2491519,47341,1143715683.00,617331,24.78,39.00,-25.20
22-November-2024,451.05,491.50,445.75,460.75,470.034740563212085141,4123278,69788,1938083905.00,1093445,26.52,45.75,9.70
21-November-2024,441.00,494.50,430.85,476.15,462.468786540742062343,4949099,109052,2288803809.00,1219822,24.65,63.65,35.15
19-November-2024,532.75,537.50,521.50,524.10,531.610786478409400745,187049,5190,99437266.00,57012,30.48,16.00,-8.65
18-November-2024,554.05,557.50,525.20,526.60,534.903633970340015389,570533,20335,305180175.00,186062,32.61,32.30,-27.45
14-November-2024,558.60,567.45,547.35,549.35,555.697253607604394747,461733,12981,256583760.00,91616,19.84,20.10,-9.25
13-November-2024,558.05,598.00,541.50,547.55,571.634618935712515802,633607,13948,362191696.00,74886,11.82,56.50,-10.50
12-November-2024,583.85,587.00,555.00,557.80,569.599411872524565080,125483,5136,71475043.00,49738,39.64,32.00,-26.05
11-November-2024,583.90,587.20,578.00,578.85,583.059509154502999394,102354,3666,59678473.00,48219,47.11,9.20,-5.05
8-November-2024,599.75,599.75,586.85,588.65,591.304231683041160983,77865,3549,46041904.00,33187,42.62,12.90,-11.10
7-November-2024,618.80,618.80,597.00,599.60,606.352063773731813531,220906,9896,133946809.00,87880,39.78,21.80,-19.20
6-November-2024,605.85,626.85,605.70,616.35,616.390696069512845446,191274,5815,117899514.00,50856,26.59,21.15,10.50
5-November-2024,583.85,607.50,581.00,603.35,592.093855465884079236,109040,3197,64561914.00,26806,24.58,26.50,19.50
4-November-2024,597.10,597.10,582.50,584.80,588.420170594346328394,109734,3629,64569699.00,35712,32.54,14.60,-12.30
1-November-2024,595.50,599.60,592.15,596.95,596.849714342988874411,99770,6082,59547696.00,47537,47.65,7.45,1.45
31-October-2024,599.05,609.10,589.90,592.85,597.453393406378808907,143381,4107,85663465.00,36027,25.13,19.20,-6.20
30-October-2024,594.00,599.50,584.45,591.45,592.984791300773513695,133805,3943,79344330.00,33665,25.16,15.05,-2.55
29-October-2024,578.05,596.25,578.05,591.80,589.472031227239813464,473689,12246,279226417.00,205009,43.28,18.20,13.75
28-October-2024,585.65,607.00,572.60,599.00,592.336274941028653300,538821,19119,319163224.00,136526,25.34,34.40,13.35
25-October-2024,605.10,612.50,584.75,592.35,594.042172497186504800,167052,5514,99235933.00,38174,22.85,27.75,-12.75
24-October-2024,587.05,612.00,586.00,604.60,602.215496768444213746,217697,6012,131100507.00,45704,20.99,26.00,17.55
23-October-2024,588.15,595.95,578.75,586.25,587.029032395056771458,259021,7797,152052847.00,57342,22.14,17.20,-1.90
22-October-2024,603.05,607.75,584.05,587.80,591.850641688406243652,438141,19333,259314032.00,180460,41.19,23.70,-15.25
21-October-2024,611.55,620.05,601.00,603.65,607.856406876885838389,241272,9239,146658731.00,94672,39.24,19.05,-7.90
18-October-2024,609.85,613.95,595.00,611.45,605.146822776777071941,312002,12336,188807019.00,101473,32.52,18.95,1.60
17-October-2024,625.55,628.00,607.65,609.15,615.873288839451242120,134850,5834,83050513.00,63663,47.21,20.35,-16.40
16-October-2024,632.95,635.75,621.85,625.55,626.792776467667866451,120855,5096,75751041.00,49731,41.15,13.90,-7.40
15-October-2024,638.05,640.55,632.00,633.40,634.829106217165918658,57486,2788,36493786.00,24621,42.83,8.55,-4.65
14-October-2024,642.00,645.65,631.25,634.35,638.230786485349782700,106995,4693,68287503.00,35291,32.98,14.40,-7.65
11-October-2024,645.00,645.00,637.25,641.75,641.483286783742077004,78411,3252,50299346.00,28496,36.34,7.75,-3.25
10-October-2024,642.75,648.00,631.05,645.00,638.478867921496798656,124479,3744,79477211.00,43767,35.16,16.95,2.25
9-October-2024,648.20,648.90,632.00,634.15,641.618438039163640312,165766,7047,106358522.00,68544,41.35,16.90,-14.05
8-October-2024,625.30,646.10,613.75,640.65,634.319899209712518611,218275,5660,138456176.00,54985,25.19,32.35,15.35
7-October-2024,641.05,645.00,614.00,625.30,624.570041713782188252,264421,7645,165149435.00,90943,34.39,31.00,-15.75
4-October-2024,635.05,647.80,635.00,642.00,641.670481394348738964,395310,12567,253658758.00,146475,37.05,12.80,6.95
3-October-2024,648.95,652.35,631.20,645.50,640.449930615158782997,498668,19693,319371886.00,221583,44.43,21.15,-3.45
1-October-2024,653.25,660.60,651.80,653.40,655.557996884644781780,103359,3271,67757819.00,49621,48.01,8.80,0.15
30-September-2024,654.30,662.35,648.50,656.05,655.151668228431152582,303076,11064,198560747.00,93535,30.86,13.85,1.75
27-September-2024,664.20,674.00,647.00,654.30,662.682820440474916409,308349,11572,204337585.00,111506,36.16,27.00,-9.90
26-September-2024,666.15,668.55,660.00,665.40,663.690466559732198898,71695,2792,47583288.00,27436,38.27,8.55,-0.75
25-September-2024,668.05,676.80,660.70,667.30,668.300623241516175299,272607,10038,182183428.00,115313,42.30,16.10,-0.75
24-September-2024,671.75,680.00,667.25,676.05,673.775217470779884087,186002,5590,125323538.00,66211,35.60,12.75,4.30
23-September-2024,665.30,674.50,661.00,671.75,667.601490785199830532,226592,7749,151273157.00,63832,28.17,13.50,6.45
20-September-2024,652.40,669.95,648.65,665.10,659.122643254920662220,383739,18298,252931064.00,191815,49.99,21.30,12.70
19-September-2024,656.95,658.25,637.05,649.80,647.531523118306856823,197030,6569,127583136.00,52096,26.44,21.20,-7.15
18-September-2024,664.95,668.10,650.00,651.30,657.596480868412621633,159187,4817,104680811.00,48637,30.55,18.10,-13.65
17-September-2024,666.00,673.95,652.30,666.20,661.866221940125597661,549851,17926,363927804.00,171265,31.15,21.65,0.20
16-September-2024,660.95,681.30,650.15,666.00,669.147802039476843773,1749076,51182,1170390361.00,618473,35.36,31.15,5.05
13-September-2024,647.65,647.65,630.45,633.55,638.638606796463977667,447056,17156,285507221.00,186318,41.68,17.20,-14.10
12-September-2024,635.70,654.60,623.25,651.35,640.917445423104538802,364898,10697,233869494.00,86278,23.64,31.35,15.65
11-September-2024,637.00,640.00,625.00,626.80,632.906292213709062673,282047,11823,178509321.00,116813,41.42,15.00,-10.20
10-September-2024,641.35,645.95,633.75,637.20,638.843554589490050883,384607,12009,245703703.00,110508,28.73,12.20,-4.15
9-September-2024,638.70,644.75,621.20,635.50,634.127903363015520597,759378,20468,481542779.00,344130,45.32,23.55,-3.20
6-September-2024,644.95,648.00,631.35,635.05,638.679911845892106824,407922,15477,260531587.00,141128,34.60,16.65,-9.90
5-September-2024,651.75,655.75,640.95,643.90,648.783462006751895511,144552,4252,93782947.00,45940,31.78,14.80,-7.85
4-September-2024,655.95,659.00,649.15,650.70,652.390306823832226739,170945,4707,111522861.00,55957,32.73,9.85,-5.25
3-September-2024,670.00,672.00,656.40,658.55,662.458976139932107883,408884,12115,270868876.00,123947,30.31,15.60,-11.45
2-September-2024,639.65,684.90,628.00,670.45,661.660062636570945443,1007718,21141,666766755.00,140210,13.91,56.90,30.80
30-August-2024,646.65,649.95,629.30,631.95,636.970949163580121291,196552,7128,125197914.00,97465,49.59,20.65,-14.70
29-August-2024,641.40,649.65,629.00,644.15,636.856824200992142657,318301,8568,202712164.00,106855,33.57,20.65,2.75
28-August-2024,658.25,658.70,638.60,641.45,648.840546845911924774,504932,20419,327620355.00,234720,46.49,20.10,-16.80
27-August-2024,665.00,671.75,651.60,654.15,661.982391068934309165,191153,5790,126539920.00,69358,36.28,20.15,-10.85
26-August-2024,675.80,678.85,660.00,661.40,667.972606528639961313,545933,19437,364668289.00,241206,44.18,18.85,-14.40
23-August-2024,685.50,689.00,674.00,675.85,679.999502195525152608,482117,12531,327839320.00,147342,30.56,15.00,-9.65
22-August-2024,692.05,697.95,671.05,673.85,682.801614943695628406,192081,7404,131153217.00,111451,58.02,26.90,-18.20
21-August-2024,690.65,701.00,690.65,694.95,696.384507967800229998,170436,4126,118688990.00,39629,23.25,10.35,4.30
20-August-2024,699.00,701.95,692.10,694.80,696.461202285993704348,163605,4105,113944535.00,47020,28.74,9.85,-4.20
19-August-2024,699.00,706.50,693.25,696.65,698.343260831568550140,246017,5800,171804314.00,56286,22.88,13.25,-2.35
16-August-2024,683.75,700.70,671.30,697.30,681.736700039628834837,267482,6561,182352296.00,52851,19.76,29.40,13.55
14-August-2024,688.25,690.00,671.40,673.95,680.077380569056106310,263981,7339,179527507.00,82224,31.15,18.60,-14.30
13-August-2024,691.25,702.60,686.00,689.15,693.951278407092098782,355325,9513,246578238.00,90292,25.41,16.60,-2.10
12-August-2024,660.05,695.10,619.00,690.55,671.356020952113779592,1618357,35414,1086493716.00,354059,21.88,76.10,30.50
9-August-2024,698.45,703.25,692.00,695.10,696.184587277017940064,197045,6709,137179692.00,43227,21.94,11.25,-3.35
8-August-2024,694.80,700.00,686.10,691.05,694.375156872980086849,180082,6030,125044467.00,47303,26.27,13.90,-3.75
7-August-2024,700.00,703.40,688.25,690.90,694.442999139156373245,199804,6989,138752489.00,70485,35.28,15.15,-9.10
6-August-2024,692.15,706.95,682.50,687.25,696.213781425291187072,408071,10701,284104654.00,111876,27.42,24.45,-4.90
5-August-2024,685.20,719.50,685.20,690.80,701.517161195490938918,1336154,46328,937334961.00,561664,42.04,34.30,5.60
2-August-2024,729.75,740.50,721.00,726.40,730.273599309196941444,319628,8447,233415890.00,81776,25.58,19.50,-3.35
1-August-2024,719.50,752.15,715.30,737.75,732.281790526419896416,2012101,48503,1473424923.00,695673,34.57,36.85,18.25
31-July-2024,734.70,748.85,713.00,734.50,737.590790236603385392,534650,13276,394352916.00,139980,26.18,35.85,-0.20
30-July-2024,721.35,734.90,717.00,729.15,728.653005997367009605,779342,24015,567869891.00,358385,45.99,17.90,7.80
29-July-2024,719.70,724.85,715.10,716.75,719.526593307451596060,563074,13863,405146717.00,223907,39.77,9.75,-2.95
26-July-2024,704.95,727.90,699.40,713.05,713.877311272984613882,409785,9396,292536214.00,119049,29.05,28.50,8.10
25-July-2024,692.05,709.20,686.15,694.90,695.891938016557096531,440053,14009,306229335.00,126044,28.64,23.05,2.85
24-July-2024,697.00,709.25,692.95,694.75,699.493011742370605788,190677,6244,133377229.00,61198,32.10,16.30,-2.25
23-July-2024,704.00,728.70,646.25,696.95,705.941493534625757676,1537266,45083,1085219856.00,365203,23.76,82.45,-7.05
22-July-2024,693.75,710.00,682.50,696.15,698.414966435048875279,212275,6701,148256037.00,50526,23.80,27.50,2.40
19-July-2024,700.00,702.45,690.00,694.25,694.577879909833097793,171238,6220,118938127.00,55173,32.22,12.45,-5.75
18-July-2024,714.40,714.40,696.35,699.35,702.155831091355714118,213725,8337,150068255.00,103752,48.54,18.05,-15.05
16-July-2024,710.05,731.00,709.00,712.15,715.847828201133285038,503845,15231,360676349.00,159596,31.68,22.00,2.10
15-July-2024,714.55,714.55,705.25,708.70,710.027542889614716361,397707,13601,282382924.00,160816,40.44,9.30,-5.85
12-July-2024,722.00,726.00,708.00,710.05,715.456297641214579012,452733,17234,323910676.00,199823,44.14,18.00,-11.95
11-July-2024,730.75,732.20,716.00,721.20,725.502257227386556578,176101,5581,127761673.00,61507,34.93,16.20,-9.55
10-July-2024,734.00,737.85,714.20,727.35,725.073482140306856707,910262,21950,660006838.00,257922,28.33,23.65,-6.65
9-July-2024,697.05,745.00,696.00,725.35,728.900105461378387618,5943408,22907,4332150718.00,5327403,89.64,49.00,28.30
8-July-2024,707.15,712.00,693.05,697.95,700.319362734929261917,241030,9958,168797976.00,109493,45.43,18.95,-9.20
5-July-2024,710.95,714.70,706.75,708.85,709.962320048523459194,484714,22141,344128676.00,267046,55.09,7.95,-2.10
4-July-2024,715.35,718.50,710.50,712.30,714.801250318237107861,141404,5265,101075756.00,68065,48.14,8.00,-3.05
3-July-2024,711.55,721.85,711.15,715.00,714.967764195331648235,391273,15846,279747582.00,204082,52.16,10.70,3.45
2-July-2024,716.05,733.00,708.45,710.80,719.696839406820910536,739608,23273,532293540.00,231594,31.31,24.55,-5.25
1-July-2024,718.60,722.75,712.70,717.80,718.272042256876612370,146911,6170,105522064.00,54912,37.38,10.05,-0.80
28-June-2024,717.95,728.00,715.05,718.20,721.064376827330640381,200771,7509,144768816.00,84377,42.03,12.95,0.25
27-June-2024,720.75,728.00,710.15,715.30,716.777801476036958346,365709,18361,262132093.00,187538,51.28,17.85,-5.45
26-June-2024,725.00,730.00,719.00,720.00,722.725105161964064375,307383,17067,222153411.00,166819,54.27,11.00,-5.00
25-June-2024,738.05,744.30,724.00,725.55,732.117435830257449546,129773,7395,95009076.00,75851,58.45,20.30,-12.50
24-June-2024,729.75,745.00,720.15,737.95,733.225202438249590927,166841,9101,122332026.00,57853,34.68,24.85,8.20
21-June-2024,742.05,744.00,730.00,733.45,738.612421296369720711,126106,8961,93143458.00,59504,47.19,14.00,-8.60
20-June-2024,743.95,746.95,735.00,742.00,741.803255975060616556,153011,9136,113504058.00,74882,48.94,11.95,-1.95
19-June-2024,749.15,750.00,720.00,738.00,730.623358161782055352,343289,23382,250814962.00,161503,47.05,30.00,-11.15
18-June-2024,753.90,758.00,741.95,747.80,749.846314477694885569,534429,25481,400739616.00,390914,73.15,16.05,-6.10
14-June-2024,754.05,760.00,745.30,746.90,749.725529889296356506,581914,25766,436275782.00,325804,55.99,14.70,-7.15
13-June-2024,763.65,769.75,750.20,753.85,756.335638620440499077,232509,10976,175854843.00,116326,50.03,19.55,-9.80
12-June-2024,766.00,768.00,754.55,761.85,760.946966402087637273,257516,11940,195956019.00,139169,54.04,13.45,-4.15
11-June-2024,775.10,779.95,760.00,762.75,766.493719065411490683,659456,28192,505468882.00,343397,52.07,19.95,-12.35
10-June-2024,788.95,810.55,766.85,769.85,786.290809376471720184,1184838,38709,931627230.00,551336,46.53,43.70,-19.10
7-June-2024,746.90,772.20,733.40,767.25,760.483269076625670524,551434,20781,419356331.00,179331,32.52,38.80,20.35
6-June-2024,749.00,790.00,743.70,749.20,768.810312772419042525,1166631,47033,896917944.00,425705,36.49,46.30,0.20
5-June-2024,738.35,778.50,638.90,726.15,693.528125854522035906,7259175,167253,5034442033.00,4442905,61.20,139.60,-12.20
4-June-2024,875.95,875.95,700.00,723.85,778.838442679690978719,11062798,294342,8616132366.00,2556298,23.11,175.95,-152.10
3-June-2024,875.00,896.75,825.75,875.00,870.887136306937228432,5373659,145745,4679850498.00,1368214,25.46,71.00,0.00
31-May-2024,708.80,797.55,704.75,756.65,753.514339953990312533,1989581,48585,1499177814.00,292067,14.68,92.80,47.85
30-May-2024,679.55,709.00,675.75,698.20,697.718438577964129652,1023631,26624,714206223.00,329090,32.15,33.25,18.65
29-May-2024,677.25,684.10,666.15,679.60,675.555501127848294846,418496,11367,282717275.00,133946,32.01,17.95,2.35
28-May-2024,707.70,712.00,675.50,678.65,689.223649103621460431,395034,13074,272266775.00,172528,43.67,36.50,-29.05
27-May-2024,709.95,717.00,702.35,704.55,708.740540522937542538,307073,9086,217635084.00,90673,29.53,14.65,-5.40
24-May-2024,713.70,720.10,703.30,706.95,712.169353831360284326,424301,12117,302174169.00,124260,29.29,16.80,-6.75
23-May-2024,700.75,720.00,686.00,710.95,705.628989281347856642,1208081,35687,852456975.00,348642,28.86,34.00,10.20
22-May-2024,689.30,715.00,685.55,691.65,699.439910220101358242,1152151,31382,805860392.00,348092,30.21,29.45,2.35
21-May-2024,634.75,691.95,626.55,680.25,669.091616522313094578,1640763,46685,1097820768.00,652884,39.79,65.40,45.50
18-May-2024,639.95,641.85,633.75,634.75,637.253989159617040676,39482,2060,25160062.00,24811,62.84,8.10,-5.20
17-May-2024,640.75,640.75,629.20,635.75,635.205870994956006154,168319,5486,106917217.00,65638,39.00,11.55,-5.00
16-May-2024,646.85,651.60,632.00,639.95,640.008197302254344552,578483,17549,370233862.00,196572,33.98,19.60,-6.90
